"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 11일","280.85","283.30","283.30","280.40","61.56M","-0.81%"
"2019년 11월 08일","283.13","285.81","286.12","282.57","73.68M","-0.44%"
"2019년 11월 07일","284.37","284.04","284.82","283.05","70.72M","-0.05%"
"2019년 11월 06일","284.52","284.31","286.43","283.70","77.95M","0.05%"
"2019년 11월 05일","284.38","282.99","284.46","282.27","76.36M","0.65%"
"2019년 11월 04일","282.54","279.90","282.77","279.90","77.00M","1.48%"
"2019년 11월 01일","278.43","276.17","278.55","275.59","58.54M","0.95%"
"2019년 10월 31일","275.82","276.84","279.04","275.82","78.34M","0.11%"
"2019년 10월 30일","275.51","277.49","277.49","274.95","72.53M","-0.73%"
"2019년 10월 29일","277.55","279.25","279.49","276.81","57.15M","-0.08%"
"2019년 10월 28일","277.78","278.16","279.42","277.29","59.07M","0.26%"
"2019년 10월 25일","277.07","277.60","277.67","275.70","58.28M","0.13%"
"2019년 10월 24일","276.70","277.70","277.84","274.31","73.68M","0.17%"
"2019년 10월 23일","276.23","276.83","277.29","275.34","65.29M","-0.43%"
"2019년 10월 22일","277.41","275.40","278.19","274.93","63.88M","1.32%"
"2019년 10월 21일","273.79","273.87","274.10","272.67","45.39M","0.36%"
"2019년 10월 18일","272.81","275.99","277.06","272.28","71.47M","-1.00%"
"2019년 10월 17일","275.57","275.92","276.68","274.62","53.87M","-0.27%"
"2019년 10월 16일","276.32","276.26","277.59","275.24","65.38M","0.72%"
"2019년 10월 15일","274.34","273.85","275.09","273.83","53.05M","0.04%"
"2019년 10월 14일","274.23","274.71","275.75","273.97","71.05M","1.08%"
"2019년 10월 11일","271.30","271.68","272.68","270.58","59.64M","0.93%"
"2019년 10월 10일","268.80","268.79","270.78","266.23","98.18M","-0.94%"
"2019년 10월 08일","271.36","268.90","271.51","267.97","75.08M","1.38%"
"2019년 10월 07일","267.67","269.12","269.75","266.83","53.57M","0.10%"
"2019년 10월 04일","267.39","268.14","270.16","267.39","62.88M","-0.43%"
"2019년 10월 02일","268.55","272.39","272.42","268.55","66.21M","-2.14%"
"2019년 10월 01일","274.42","273.43","275.38","272.81","52.63M","0.32%"
"2019년 09월 30일","273.55","270.61","273.85","270.06","54.69M","0.82%"
"2019년 09월 27일","271.33","273.32","273.40","270.52","57.74M","-1.30%"
"2019년 09월 26일","274.89","275.61","276.38","273.50","89.59M","0.17%"
"2019년 09월 25일","274.42","276.67","277.04","274.12","70.84M","-1.28%"
"2019년 09월 24일","277.97","276.41","278.17","275.55","68.27M","0.48%"
"2019년 09월 23일","276.65","275.86","277.11","275.64","60.19M","0.08%"
"2019년 09월 20일","276.44","275.01","276.67","274.46","74.03M","0.55%"
"2019년 09월 19일","274.92","273.11","276.15","273.03","70.50M","0.68%"
"2019년 09월 18일","273.06","271.88","273.72","271.04","67.60M","0.51%"
"2019년 09월 17일","271.68","271.46","272.26","270.90","73.74M","-0.12%"
"2019년 09월 16일","272.02","271.48","272.03","269.59","103.34M","0.44%"
"2019년 09월 11일","270.84","270.35","271.35","269.58","103.90M","0.77%"
"2019년 09월 10일","268.76","267.96","269.13","267.35","66.34M","0.51%"
"2019년 09월 09일","267.40","266.11","268.67","265.92","62.21M","0.70%"
"2019년 09월 06일","265.53","266.20","266.36","264.74","59.20M","0.41%"
"2019년 09월 05일","264.44","262.53","266.00","262.27","88.99M","1.05%"
"2019년 09월 04일","261.69","257.89","261.69","257.76","69.29M","1.33%"
"2019년 09월 03일","258.25","258.55","259.67","257.40","64.32M","-0.32%"
"2019년 09월 02일","259.08","258.25","259.74","257.80","54.89M","0.03%"
"2019년 08월 30일","259.00","256.85","259.61","256.72","94.16M","1.84%"
"2019년 08월 29일","254.31","255.68","256.28","253.60","64.85M","-0.48%"
"2019년 08월 28일","255.53","254.20","255.98","253.65","58.34M","0.80%"
"2019년 08월 27일","253.50","253.74","254.96","252.53","93.38M","0.52%"
"2019년 08월 26일","252.19","251.80","253.14","250.99","62.61M","-1.53%"
"2019년 08월 23일","256.11","255.11","256.88","254.91","54.78M","-0.07%"
"2019년 08월 22일","256.28","258.53","258.73","256.25","67.25M","-0.81%"
"2019년 08월 21일","258.38","257.15","259.49","257.11","65.48M","0.13%"
"2019년 08월 20일","258.05","255.53","258.62","254.74","81.69M","1.15%"
"2019년 08월 19일","255.11","255.20","255.84","254.25","66.02M","0.48%"
"2019년 08월 16일","253.90","252.76","253.94","251.46","71.83M","-0.38%"
"2019년 08월 14일","254.86","255.84","256.82","254.59","82.24M","0.80%"
"2019년 08월 13일","252.83","253.50","254.58","252.63","76.82M","-0.99%"
"2019년 08월 12일","255.35","255.57","256.43","254.43","69.38M","0.20%"
"2019년 08월 09일","254.85","255.13","256.15","254.41","117.69M","0.97%"
"2019년 08월 08일","252.40","254.11","255.33","252.37","163.71M","0.16%"
"2019년 08월 07일","252.00","254.46","254.90","251.08","90.74M","-0.56%"
"2019년 08월 06일","253.41","250.85","257.04","250.24","123.17M","-1.47%"
"2019년 08월 05일","257.19","261.10","261.40","256.76","131.04M","-2.21%"
"2019년 08월 02일","262.99","262.61","263.94","261.75","99.66M","-1.03%"
"2019년 08월 01일","265.73","264.97","267.44","264.47","72.58M","-0.23%"
"2019년 07월 31일","266.34","268.46","269.14","265.00","96.24M","-0.97%"
"2019년 07월 30일","268.95","268.69","269.79","268.33","64.53M","0.45%"
"2019년 07월 29일","267.75","271.21","271.91","267.07","78.75M","-1.65%"
"2019년 07월 26일","272.25","271.41","272.56","270.57","89.84M","-0.29%"
"2019년 07월 25일","273.04","274.08","274.62","271.25","95.65M","-0.07%"
"2019년 07월 24일","273.22","275.12","276.48","272.91","84.29M","-0.98%"
"2019년 07월 23일","275.92","274.93","276.56","274.84","95.08M","0.50%"
"2019년 07월 22일","274.55","273.90","275.35","273.57","60.91M","0.00%"
"2019년 07월 19일","274.55","272.71","274.95","272.21","87.94M","1.43%"
"2019년 07월 18일","270.67","271.05","271.63","269.73","80.14M","-0.30%"
"2019년 07월 17일","271.48","272.13","272.28","270.29","117.95M","-0.94%"
"2019년 07월 16일","274.05","272.79","274.54","272.14","137.05M","0.52%"
"2019년 07월 15일","272.64","272.06","273.38","270.99","83.61M","-0.01%"
"2019년 07월 12일","272.68","272.21","273.23","271.28","55.66M","0.33%"
"2019년 07월 11일","271.78","270.58","272.97","270.46","107.37M","1.13%"
"2019년 07월 10일","268.75","269.29","270.33","268.60","67.51M","0.38%"
"2019년 07월 09일","267.72","269.60","270.22","267.72","71.88M","-0.31%"
"2019년 07월 08일","268.55","271.38","271.67","268.38","75.10M","-2.11%"
"2019년 07월 05일","274.35","274.74","275.23","272.41","60.02M","-0.07%"
"2019년 07월 04일","274.54","273.18","274.61","271.93","77.52M","0.80%"
"2019년 07월 03일","272.37","275.57","276.69","271.90","97.52M","-1.30%"
"2019년 07월 02일","275.97","276.06","277.46","274.63","65.54M","-0.47%"
"2019년 07월 01일","277.27","279.59","279.68","276.85","74.36M","-0.08%"
"2019년 06월 28일","277.50","278.03","278.56","276.58","67.60M","-0.09%"
"2019년 06월 27일","277.75","275.47","278.63","275.09","66.30M","0.81%"
"2019년 06월 26일","275.53","275.21","276.36","274.66","58.82M","0.09%"
"2019년 06월 25일","275.28","275.33","277.02","274.19","60.51M","-0.11%"
